title,hook,bullets,cta,footage_dir,bg_music,duration,brand_color,logo,qr_url,output
Free Career Training,Stop scrolling: FREE career training available,Industry certifications; Job placement help; Federal funding covers costs,Apply free • Link in bio,assets/footage,assets/music/track.mp3,24,#1e40af,assets/logo.png,https://elevateforhumanity.org,free_training_01.mp4
Tech Apprenticeships,Earn $50K+ while learning tech,Paid training; No degree required; Start in 30 days,Check eligibility • Tap link,assets/footage,assets/music/track.mp4,22,#0ea5e9,assets/logo.png,https://elevateforhumanity.org/programs,tech_apprentice_01.mp4
Healthcare Careers,3 healthcare certs you can get FREE,Medical coding; EHR specialist; Allied health; WIOA eligible,Enroll today • Free programs,assets/footage,assets/music/track.mp3,26,#10b981,assets/logo.png,https://elevateforhumanity.org/healthcare,healthcare_certs_01.mp4
Data Science Path,From zero to data scientist in 6 months,Python & SQL; Real projects; Job guarantee; Federal funding,Start learning • Link in bio,assets/footage,assets/music/track.mp3,25,#8b5cf6,assets/logo.png,https://elevateforhumanity.org/data-science,data_science_01.mp4
WIOA Funding,Did you know? Government pays for your training,WIOA covers 100%; No upfront costs; 106+ programs,Check if you qualify • Tap link,assets/footage,assets/music/track.mp3,23,#f59e0b,assets/logo.png,https://elevateforhumanity.org/funding,wioa_funding_01.mp4
Success Story,Meet Sarah: Unemployed to $75K in 8 months,Free training; Career coaching; Job placement; Now thriving,Your turn • Apply free,assets/footage,assets/music/track.mp3,27,#ef4444,assets/logo.png,https://elevateforhumanity.org/success,success_sarah_01.mp4
CompTIA Certs,Get CompTIA certified for FREE,A+; Network+; Security+; Career support included,Start today • No cost,assets/footage,assets/music/track.mp3,24,#06b6d4,assets/logo.png,https://elevateforhumanity.org/comptia,comptia_free_01.mp4
Project Management,Become a certified project manager,PMI training; PMP prep; Job placement; Federal funding,Enroll free • Link in bio,assets/footage,assets/music/track.mp3,25,#6366f1,assets/logo.png,https://elevateforhumanity.org/pmp,pmp_cert_01.mp4
Cloud Computing,AWS & Azure certs that pay $100K+,Cloud architect; DevOps; Solutions architect; Hands-on labs,Get certified • Tap link,assets/footage,assets/music/track.mp3,26,#3b82f6,assets/logo.png,https://elevateforhumanity.org/cloud,cloud_certs_01.mp4
Cybersecurity,Cybersecurity jobs hiring NOW,Security+; CEH; CISSP prep; 500K+ open jobs,Start training • Free programs,assets/footage,assets/music/track.mp3,24,#dc2626,assets/logo.png,https://elevateforhumanity.org/cybersecurity,cyber_jobs_01.mp4
